date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:05	10266/10266	---M--	200	added ('OK')	image/png	etag:%227a6ab9a9ef19513aaaad43edb0517816%22	https://s2.coinmarketcap.com/static/img/coins/64x64/15688.png	C:/My%20Web%20Sites/bakery/s2.coinmarketcap.com/static/img/coins/64x64/15688.png	(from https://www.bakeryswapes.org/earning.html)
18:15:05	7735/7735	---M-Z	200	added ('OK')	image/svg+xml	etag:%221e37-62383440-990bbf559db6fc19;gz%22	https://www.bakeryswapes.org/images/icon_bake_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_bake_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:09	109938/109938	---M-Z	200	added ('OK')	image/svg+xml	etag:%221ad72-62383440-d9207e8bb320a670;gz%22	https://www.bakeryswapes.org/images/icon_egg_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_egg_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:12	879/879	---M--	200	added ('OK')	image/png	etag:%22572105411f507fda47f7d1b36a84d58b%22	https://s2.coinmarketcap.com/static/img/coins/64x64/15070.png	C:/My%20Web%20Sites/bakery/s2.coinmarketcap.com/static/img/coins/64x64/15070.png	(from https://www.bakeryswapes.org/earning.html)
18:15:12	1112/1112	---M--	200	added ('OK')	image/png	etag:%22657e8cf8b3eabe93bf49569894e9ef78%22	https://s2.coinmarketcap.com/static/img/coins/64x64/7846.png	C:/My%20Web%20Sites/bakery/s2.coinmarketcap.com/static/img/coins/64x64/7846.png	(from https://www.bakeryswapes.org/earning.html)
18:15:13	3803/3803	---M-Z	200	added ('OK')	image/svg+xml	etag:%22edb-62383440-df835e16960b09e2;gz%22	https://www.bakeryswapes.org/images/icon_btc_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_btc_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:14	3608/3608	---M--	200	added ('OK')	image/png	etag:%22b013b75b8c22b7bcc40e495aabc82f7d%22	https://s2.coinmarketcap.com/static/img/coins/64x64/16091.png	C:/My%20Web%20Sites/bakery/s2.coinmarketcap.com/static/img/coins/64x64/16091.png	(from https://www.bakeryswapes.org/earning.html)
18:15:15	1561/1561	---M-Z	200	added ('OK')	image/svg+xml	etag:%22619-62383440-a9cbe270cf63d9c3;gz%22	https://www.bakeryswapes.org/images/icon_eth_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_eth_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:15	708/708	---M-Z	200	added ('OK')	image/svg+xml	etag:%222c4-62383440-ab10ff88fca86913;gz%22	https://www.bakeryswapes.org/images/icon_eth.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_eth.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:16	4466/4466	---M-Z	200	added ('OK')	image/svg+xml	etag:%221172-62383440-f4f5f8f9d62d8500;gz%22	https://www.bakeryswapes.org/images/icon_busd_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_busd_light.svg	(from https://www.bakeryswapes.org/earning.html)
